design,chain_length,graph_rmse,sequential_rmse,graph_advantage,mcse,t,p,graph_wins,n
60-day step,5,7.482723645138433,7.467702586241074,-0.015021058897360894,0.005333372386178973,-2.816427920219264,0.0075802057981089015,13,40
30-day step,9,7.302600259524093,7.296719339189352,-0.005880920334741457,0.004863154621676816,-1.2092809692967805,0.23383494198133706,15,40
15-day step,17,7.208460951473251,7.212504344395379,0.0040433929221269874,0.007173405424240536,0.5636643522842667,0.5762095797911743,15,40
"15-day step, low noise",17,1.9244600662873872,1.9355816392517007,0.01112157296431362,0.006559032420572018,1.6956118297923735,0.09792996614059148,21,40
