design,seed,pull_id,method,position,log_scale
60-day step,1200,P001,graph,0,-0.2247963955349887
60-day step,1200,P001,graph,1,-0.2850078562089811
60-day step,1200,P001,graph,2,-0.3241662585359344
60-day step,1200,P001,graph,3,0.0
60-day step,1200,P001,graph,4,-0.2512096730856167
60-day step,1200,P001,graph,5,-0.2958449568925237
60-day step,1200,P001,sequential,0,0.0
60-day step,1200,P001,sequential,1,-0.060211460673992426
60-day step,1200,P001,sequential,2,-0.09936986300094568
60-day step,1200,P001,sequential,3,0.22479639553498876
60-day step,1200,P001,sequential,4,-0.02447850988616357
60-day step,1200,P001,sequential,5,-0.06777452681220186
60-day step,1200,P002,graph,0,0.11428108926596703
60-day step,1200,P002,graph,1,0.05455169342758309
60-day step,1200,P002,graph,2,0.039961605262468475
60-day step,1200,P002,graph,3,0.221808192290642
60-day step,1200,P002,graph,4,0.0
60-day step,1200,P002,graph,5,0.04085932359844583
60-day step,1200,P002,sequential,0,0.0
60-day step,1200,P002,sequential,1,-0.05972939583838394
60-day step,1200,P002,sequential,2,-0.07431948400349843
60-day step,1200,P002,sequential,3,0.10752710302467523
60-day step,1200,P002,sequential,4,-0.11338434469879623
60-day step,1200,P002,sequential,5,-0.07167557875383507
60-day step,1201,P001,graph,0,-0.2951022910908377
60-day step,1201,P001,graph,1,-0.40313770321717846
60-day step,1201,P001,graph,2,-0.34166078564857427
60-day step,1201,P001,graph,3,0.0
60-day step,1201,P001,graph,4,-0.17470016207156577
60-day step,1201,P001,graph,5,-0.21403734518376785
60-day step,1201,P001,sequential,0,0.0
60-day step,1201,P001,sequential,1,-0.10803541212634073
60-day step,1201,P001,sequential,2,-0.046558494557736606
60-day step,1201,P001,sequential,3,0.29510229109083763
60-day step,1201,P001,sequential,4,0.12369080032930158
60-day step,1201,P001,sequential,5,0.08634082700478973
60-day step,1201,P002,graph,0,-0.23139710699285057
60-day step,1201,P002,graph,1,-0.33024055791503304
60-day step,1201,P002,graph,2,-0.3851294736073995
60-day step,1201,P002,graph,3,0.0
60-day step,1201,P002,graph,4,-0.15720040597111024
60-day step,1201,P002,graph,5,-0.1640169281623427
60-day step,1201,P002,sequential,0,0.0
60-day step,1201,P002,sequential,1,-0.09884345092218244
60-day step,1201,P002,sequential,2,-0.15373236661454884
60-day step,1201,P002,sequential,3,0.23139710699285068
60-day step,1201,P002,sequential,4,0.07689096036517123
60-day step,1201,P002,sequential,5,0.0716898985733643
60-day step,1202,P001,graph,0,-0.17548187177252073
60-day step,1202,P001,graph,1,-0.2824998272663413
60-day step,1202,P001,graph,2,-0.29282653625223315
60-day step,1202,P001,graph,3,0.0
60-day step,1202,P001,graph,4,-0.11599791727981616
60-day step,1202,P001,graph,5,-0.15029762285425807
60-day step,1202,P001,sequential,0,0.0
60-day step,1202,P001,sequential,1,-0.10701795549382061
60-day step,1202,P001,sequential,2,-0.11734466447971238
60-day step,1202,P001,sequential,3,0.17548187177252084
60-day step,1202,P001,sequential,4,0.06073764717933658
60-day step,1202,P001,sequential,5,0.027269810189747598
60-day step,1202,P002,graph,0,-0.029106269585492797
60-day step,1202,P002,graph,1,-0.23932348793274758
60-day step,1202,P002,graph,2,-0.23181089553169265
60-day step,1202,P002,graph,3,0.0748133885030659
60-day step,1202,P002,graph,4,0.0
60-day step,1202,P002,graph,5,0.022304388186955685
60-day step,1202,P002,sequential,0,0.0
60-day step,1202,P002,sequential,1,-0.21021721834725476
60-day step,1202,P002,sequential,2,-0.20270462594619984
60-day step,1202,P002,sequential,3,0.10391965808855877
60-day step,1202,P002,sequential,4,0.02904263568446322
60-day step,1202,P002,sequential,5,0.051307354881670195
60-day step,1203,P001,graph,0,0.08239241679269954
60-day step,1203,P001,graph,1,-0.1861323542745501
60-day step,1203,P001,graph,2,-0.1960822694264037
60-day step,1203,P001,graph,3,0.21144717793742784
60-day step,1203,P001,graph,4,0.0
60-day step,1203,P001,graph,5,-0.027295604167291578
60-day step,1203,P001,sequential,0,0.0
60-day step,1203,P001,sequential,1,-0.26852477106724965
60-day step,1203,P001,sequential,2,-0.2784746862191032
60-day step,1203,P001,sequential,3,0.1290547611447284
60-day step,1203,P001,sequential,4,-0.08361393689641905
60-day step,1203,P001,sequential,5,-0.11161913899604206
60-day step,1203,P002,graph,0,0.12721353918896816
60-day step,1203,P002,graph,1,-0.18757774305325
60-day step,1203,P002,graph,2,-0.17161071454123114
60-day step,1203,P002,graph,3,0.21657944757620765
60-day step,1203,P002,graph,4,0.053658523895592586
60-day step,1203,P002,graph,5,0.0
60-day step,1203,P002,sequential,0,0.0
60-day step,1203,P002,sequential,1,-0.31479128224221814
60-day step,1203,P002,sequential,2,-0.2988242537301993
60-day step,1203,P002,sequential,3,0.08936590838723957
60-day step,1203,P002,sequential,4,-0.07119211133550238
60-day step,1203,P002,sequential,5,-0.12417806791903112
60-day step,1204,P001,graph,0,-0.0382665896256485
60-day step,1204,P001,graph,1,-0.18637336025696646
60-day step,1204,P001,graph,2,-0.19019917329409275
60-day step,1204,P001,graph,3,0.0
60-day step,1204,P001,graph,4,-0.03124053247002622
60-day step,1204,P001,graph,5,-0.06324536765501414
60-day step,1204,P001,sequential,0,0.0
