design,step_days,retrieval_noise_sd,seed,pull_id,chain_length,graph,sequential
60-day step,60,0.06,1200,P001,5,7.530699759344578,7.479528822761327
60-day step,60,0.06,1200,P002,5,7.56933118738455,7.519588333861784
60-day step,60,0.06,1201,P001,5,6.383115801164682,6.399099383806623
60-day step,60,0.06,1201,P002,5,7.460606004444312,7.525808474865092
60-day step,60,0.06,1202,P001,5,7.176433983143371,7.1545137166936135
60-day step,60,0.06,1202,P002,5,7.256369337832466,7.233759807011035
60-day step,60,0.06,1203,P001,5,7.133720666322022,7.1155755618943655
60-day step,60,0.06,1203,P002,5,7.289549959932294,7.291837099976139
60-day step,60,0.06,1204,P001,5,7.703713392850474,7.6715048381645925
60-day step,60,0.06,1204,P002,5,7.697346703294328,7.741190139281123
60-day step,60,0.06,1205,P001,5,7.699420858571104,7.663909043779405
60-day step,60,0.06,1205,P002,5,6.884965102035353,6.8711686045317055
60-day step,60,0.06,1206,P001,5,7.328729738797302,7.277232519516346
60-day step,60,0.06,1206,P002,5,7.038908934172999,7.041277380998605
60-day step,60,0.06,1207,P001,5,7.229179525813294,7.2109431770110755
60-day step,60,0.06,1207,P002,5,8.40522168802179,8.290840685163623
60-day step,60,0.06,1208,P001,5,7.613845071952041,7.598053250554695
60-day step,60,0.06,1208,P002,5,7.76442488210488,7.761922221380689
60-day step,60,0.06,1209,P001,5,7.990234052365137,7.971779814695552
60-day step,60,0.06,1209,P002,5,8.313825938769483,8.264948096595951
60-day step,60,0.06,1210,P001,5,7.712993412817368,7.671495916653688
60-day step,60,0.06,1210,P002,5,7.325953916523528,7.329716227431905
60-day step,60,0.06,1211,P001,5,7.688585130956004,7.618168587189884
60-day step,60,0.06,1211,P002,5,7.2130103808644055,7.209445988564017
60-day step,60,0.06,1212,P001,5,7.858862950381363,7.797111621219331
60-day step,60,0.06,1212,P002,5,8.037100924201816,8.043580025402822
60-day step,60,0.06,1213,P001,5,8.123357609132412,8.17214465480095
60-day step,60,0.06,1213,P002,5,7.259057417038457,7.256392760227371
60-day step,60,0.06,1214,P001,5,7.712647666500646,7.680234563209759
60-day step,60,0.06,1214,P002,5,7.702675496373952,7.688093905830304
60-day step,60,0.06,1215,P001,5,7.481049678391898,7.464463276704153
60-day step,60,0.06,1215,P002,5,7.275070771885694,7.25872984011927
60-day step,60,0.06,1216,P001,5,7.207859080304538,7.22750154028953
60-day step,60,0.06,1216,P002,5,6.558909723530645,6.583664287489746
60-day step,60,0.06,1217,P001,5,7.148911961852548,7.1160502940679216
60-day step,60,0.06,1217,P002,5,7.306226379301042,7.313576769152936
60-day step,60,0.06,1218,P001,5,7.446097423049441,7.438121146853074
60-day step,60,0.06,1218,P002,5,6.897175638130775,6.908557345627048
60-day step,60,0.06,1219,P001,5,7.567473172424843,7.573697793151863
60-day step,60,0.06,1219,P002,5,8.31628448355951,8.272875933113994
30-day step,30,0.06,1200,P001,9,7.192572369023938,7.176466720117771
30-day step,30,0.06,1200,P002,9,7.37173901963346,7.358217881652329
30-day step,30,0.06,1201,P001,9,6.570889390107375,6.538138018688594
30-day step,30,0.06,1201,P002,9,6.683084575660176,6.757705308982002
30-day step,30,0.06,1202,P001,9,7.043366020446236,7.054114212606493
30-day step,30,0.06,1202,P002,9,6.93684165715034,6.9035097145737145
30-day step,30,0.06,1203,P001,9,6.748796249208471,6.709000786708952
30-day step,30,0.06,1203,P002,9,7.296515858118525,7.313245914336009
30-day step,30,0.06,1204,P001,9,7.57055165312594,7.589885155190633
30-day step,30,0.06,1204,P002,9,7.534789390381172,7.518072297946702
30-day step,30,0.06,1205,P001,9,7.359077857619351,7.3834625351555845
30-day step,30,0.06,1205,P002,9,6.684814710808174,6.715671885084703
30-day step,30,0.06,1206,P001,9,7.160827407292014,7.138241787397509
30-day step,30,0.06,1206,P002,9,7.082207810953044,7.077470193322669
30-day step,30,0.06,1207,P001,9,6.872161003656416,6.791143482513339
30-day step,30,0.06,1207,P002,9,7.939841379791394,7.882180495116269
30-day step,30,0.06,1208,P001,9,7.456842359600955,7.442756942120956
30-day step,30,0.06,1208,P002,9,7.9917000232500595,8.001297368314779
30-day step,30,0.06,1209,P001,9,7.76676710737548,7.739300462851453
30-day step,30,0.06,1209,P002,9,7.988900423805096,7.986381673757803
30-day step,30,0.06,1210,P001,9,7.675731451349599,7.659139619097171
30-day step,30,0.06,1210,P002,9,7.255115170211537,7.240662245961102
30-day step,30,0.06,1211,P001,9,7.482262549933095,7.510725229542076
30-day step,30,0.06,1211,P002,9,7.27297634312946,7.270397224262428
30-day step,30,0.06,1212,P001,9,7.875449824113272,7.87038105137786
30-day step,30,0.06,1212,P002,9,7.802263192316506,7.816643796803189
30-day step,30,0.06,1213,P001,9,7.8822209099986145,7.892162035953759
30-day step,30,0.06,1213,P002,9,7.5531954773305205,7.561750146178796
30-day step,30,0.06,1214,P001,9,7.635381528042491,7.606740192645688
30-day step,30,0.06,1214,P002,9,7.76141601108865,7.7369226122916865
30-day step,30,0.06,1215,P001,9,7.046893359419091,7.10163309524349
30-day step,30,0.06,1215,P002,9,6.780097554425212,6.797753571645293
30-day step,30,0.06,1216,P001,9,7.324763121788352,7.258593527183415
30-day step,30,0.06,1216,P002,9,6.438732883631333,6.464172579995388
30-day step,30,0.06,1217,P001,9,6.8542608348486755,6.830197570162284
30-day step,30,0.06,1217,P002,9,6.7991393773618825,6.789494320141687
30-day step,30,0.06,1218,P001,9,7.354627484325572,7.3545014823982156
30-day step,30,0.06,1218,P002,9,6.607118032168317,6.569777012845105
30-day step,30,0.06,1219,P001,9,7.586337665010607,7.571137699906713
30-day step,30,0.06,1219,P002,9,7.8637413434633325,7.889725717500469
15-day step,15,0.06,1200,P001,17,7.119079001010697,7.111280051764638
15-day step,15,0.06,1200,P002,17,7.1912852681305,7.151860622525844
15-day step,15,0.06,1201,P001,17,6.647011518474525,6.644120098204921
15-day step,15,0.06,1201,P002,17,6.764343211369708,6.724548481329521
15-day step,15,0.06,1202,P001,17,7.035387483826942,7.026610796514524
15-day step,15,0.06,1202,P002,17,6.55740688730336,6.529791211801076
15-day step,15,0.06,1203,P001,17,6.807861539481884,6.79008270198474
15-day step,15,0.06,1203,P002,17,6.968757904964589,6.966019316543123
15-day step,15,0.06,1204,P001,17,7.3235421619037355,7.344326967881512
15-day step,15,0.06,1204,P002,17,7.613405937642354,7.599203136989295
15-day step,15,0.06,1205,P001,17,7.411579594754708,7.338129169264211
15-day step,15,0.06,1205,P002,17,6.597728151443561,6.630610093204267
15-day step,15,0.06,1206,P001,17,7.3319657493279795,7.347439122231762
15-day step,15,0.06,1206,P002,17,6.66500766979375,6.795758941369011
15-day step,15,0.06,1207,P001,17,6.734295949072981,6.729743955781661
15-day step,15,0.06,1207,P002,17,7.680835495336662,7.670411282305111
15-day step,15,0.06,1208,P001,17,7.3838411216229884,7.418989931761766
15-day step,15,0.06,1208,P002,17,7.818965593459932,7.816142936598665
15-day step,15,0.06,1209,P001,17,7.640991012253706,7.688111885470023
15-day step,15,0.06,1209,P002,17,8.060761873529993,8.047898542052442
15-day step,15,0.06,1210,P001,17,7.417839942457121,7.3500409790019985
15-day step,15,0.06,1210,P002,17,7.025556707618562,7.028398114075378
15-day step,15,0.06,1211,P001,17,7.555898963400327,7.511906443598364
15-day step,15,0.06,1211,P002,17,7.203095878289095,7.187815816710857
15-day step,15,0.06,1212,P001,17,7.642543503384412,7.614008744923126
15-day step,15,0.06,1212,P002,17,7.735016472479707,7.716359904195439
15-day step,15,0.06,1213,P001,17,7.955439564757871,7.976674440220759
15-day step,15,0.06,1213,P002,17,7.243260224375463,7.2546400163954265
15-day step,15,0.06,1214,P001,17,7.456360422614101,7.4559655295107605
15-day step,15,0.06,1214,P002,17,7.419742244221594,7.5246702440511255
15-day step,15,0.06,1215,P001,17,7.2244080047566985,7.2128493380550935
15-day step,15,0.06,1215,P002,17,6.680514795422432,6.691152046719369
15-day step,15,0.06,1216,P001,17,7.00008259392829,6.98194958887727
15-day step,15,0.06,1216,P002,17,6.37318757459164,6.501485973659946
15-day step,15,0.06,1217,P001,17,7.039632092488684,6.994665266018067
15-day step,15,0.06,1217,P002,17,6.646375808091066,6.62824447243044
15-day step,15,0.06,1218,P001,17,7.319351365868731,7.320080404645293
15-day step,15,0.06,1218,P002,17,6.582487369261993,6.580777005232643
15-day step,15,0.06,1219,P001,17,7.581048892018887,7.663506253736377
15-day step,15,0.06,1219,P002,17,7.88254251419878,7.933903948179244
"15-day step, low noise",15,0.01,1200,P001,17,1.8028873812799389,1.893305731300753
"15-day step, low noise",15,0.01,1200,P002,17,1.9698515431085828,1.9846952549843933
"15-day step, low noise",15,0.01,1201,P001,17,1.9296785137995884,1.8876452950774625
"15-day step, low noise",15,0.01,1201,P002,17,1.9141284913767787,1.906734579614116
"15-day step, low noise",15,0.01,1202,P001,17,1.8854321869886606,1.8732552692747084
"15-day step, low noise",15,0.01,1202,P002,17,1.5895440506322704,1.5745692687443145
"15-day step, low noise",15,0.01,1203,P001,17,1.8671196920510436,1.81749198769095
"15-day step, low noise",15,0.01,1203,P002,17,1.7615409426291058,1.775578070361544
"15-day step, low noise",15,0.01,1204,P001,17,1.9574387991844147,2.001035326398582
"15-day step, low noise",15,0.01,1204,P002,17,1.9928249022119437,1.986956068721738
"15-day step, low noise",15,0.01,1205,P001,17,2.0999008772952976,2.029535302176345
"15-day step, low noise",15,0.01,1205,P002,17,1.8413790578197289,1.8604095323737695
"15-day step, low noise",15,0.01,1206,P001,17,2.0606811176079223,2.112028075051115
"15-day step, low noise",15,0.01,1206,P002,17,1.785187730810699,1.8692811560130953
"15-day step, low noise",15,0.01,1207,P001,17,1.970651560637425,1.9458452105390343
"15-day step, low noise",15,0.01,1207,P002,17,1.8802812656262005,1.8814043391926296
"15-day step, low noise",15,0.01,1208,P001,17,1.9261988354977497,2.0122899532595215
"15-day step, low noise",15,0.01,1208,P002,17,1.9467042512047568,1.950095426243935
"15-day step, low noise",15,0.01,1209,P001,17,2.07668479146654,2.0667738242132168
"15-day step, low noise",15,0.01,1209,P002,17,2.098289868362289,2.0977969787906177
"15-day step, low noise",15,0.01,1210,P001,17,1.9197731593501097,1.8968836712800288
"15-day step, low noise",15,0.01,1210,P002,17,1.9368980671954759,1.9382954848251879
"15-day step, low noise",15,0.01,1211,P001,17,2.0248321961156486,1.9952991030657083
"15-day step, low noise",15,0.01,1211,P002,17,2.023962855518738,2.034984805900597
"15-day step, low noise",15,0.01,1212,P001,17,1.9830834040994083,1.9815140331965353
"15-day step, low noise",15,0.01,1212,P002,17,2.0314386882750046,2.014710730164082
"15-day step, low noise",15,0.01,1213,P001,17,2.096739369335468,2.119393360564716
