design,step_days,retrieval_noise_sd,seed,pull_id,chain_length,graph,sequential
"15-day step, low noise",15,0.01,1213,P002,17,1.9063979126373851,1.9973881733871186
"15-day step, low noise",15,0.01,1214,P001,17,1.9577855239081194,1.9453637844385505
"15-day step, low noise",15,0.01,1214,P002,17,1.8757517181683185,1.917294384877066
"15-day step, low noise",15,0.01,1215,P001,17,1.9900274888679514,1.984573312515293
"15-day step, low noise",15,0.01,1215,P002,17,1.767673017603327,1.7560211243467494
"15-day step, low noise",15,0.01,1216,P001,17,1.800873994990081,1.7724245358107313
"15-day step, low noise",15,0.01,1216,P002,17,1.8185256261068241,1.8658403579237521
"15-day step, low noise",15,0.01,1217,P001,17,1.955415706780815,1.9235510227802026
"15-day step, low noise",15,0.01,1217,P002,17,1.808661826736858,1.8641428058490517
"15-day step, low noise",15,0.01,1218,P001,17,1.914162707439208,1.9237594749975764
"15-day step, low noise",15,0.01,1218,P002,17,1.849461502091605,1.8618372977937299
"15-day step, low noise",15,0.01,1219,P001,17,2.0322536526353643,2.1454683227661135
"15-day step, low noise",15,0.01,1219,P002,17,1.9282783740488336,1.9577931335633931
