scenario,cache_fraction,cache_weight,seed,gls,simple_mean,median,weight_dispersion,spectral_effective,n_pulls
homogeneous,0.0,0.0,1200,3.8275658899330427,3.8532211557884306,4.243005296429267,0.02010668768814948,5.271051917456055,9
homogeneous,0.0,0.0,1201,3.483955584934978,3.467087477848197,3.9715960113079154,0.017226047809468525,5.698593383696389,9
homogeneous,0.0,0.0,1202,4.412679803628629,4.282664080902128,4.719315522125642,0.023197603602818345,4.954888166699987,9
homogeneous,0.0,0.0,1203,4.088128070487281,4.003908932428395,4.444171526717211,0.024344336844733874,4.595780341148341,9
homogeneous,0.0,0.0,1204,4.442370029165762,4.458594881047659,4.822648700841296,0.02309906287754206,5.379887307633457,9
homogeneous,0.0,0.0,1205,3.182075275344006,3.1665831339705837,3.6463619557040143,0.019723351815778698,4.606345599020571,9
homogeneous,0.0,0.0,1206,3.428895811634908,3.4393776640235774,3.7042473316125357,0.016898172750315722,4.626659788698015,9
homogeneous,0.0,0.0,1207,3.934761303552634,3.9291284440909493,4.396277620205888,0.01871609474940875,4.791264972591431,9
homogeneous,0.0,0.0,1208,3.752467039303953,3.7857330129495375,4.221041182293049,0.02212252007577142,4.90278098199384,9
homogeneous,0.0,0.0,1209,4.153481388897226,4.148928641906571,4.459099705577342,0.02478864532300044,4.948173759502882,9
homogeneous,0.0,0.0,1210,3.6602764814045274,3.665048921696664,4.042546708502505,0.010679852117186021,4.936970699299328,9
homogeneous,0.0,0.0,1211,3.7912092382256244,3.755391793061089,4.534970559248183,0.013536809617469918,4.5929682272540555,9
homogeneous,0.0,0.0,1212,4.252263465672697,4.234483663430243,4.49566427960982,0.015490764400336813,4.7929903751828125,9
homogeneous,0.0,0.0,1213,3.824665506964245,3.866328524491757,4.301908087962067,0.025868424402297304,4.756590152351945,9
homogeneous,0.0,0.0,1214,3.9517580732941244,3.897262485953069,4.236946170422487,0.04159108166612063,5.447090610760074,9
homogeneous,0.0,0.0,1215,3.216253297179171,3.284209067886772,3.7291084377939727,0.035269553894316956,4.62112398345245,9
homogeneous,0.0,0.0,1216,3.2471836724381995,3.226047231158099,3.817669021405397,0.022289852228530003,4.985580905356322,9
homogeneous,0.0,0.0,1217,3.2613697457882402,3.2507595218655134,3.7991397411358454,0.012845719140556168,4.967491626090136,9
homogeneous,0.0,0.0,1218,3.296910699598227,3.1749291672896875,3.5922337447131882,0.02313740099226,5.281681200271785,9
homogeneous,0.0,0.0,1219,3.6327726567931258,3.6169300351173628,4.241537690394109,0.02988484349582497,4.3765293087753925,9
cache_third_moderate,0.33,0.5,1200,3.297210894426388,3.2998161610741166,3.528642441621664,0.014618698621361009,5.107379059153414,9
cache_third_moderate,0.33,0.5,1201,3.54333961162098,3.509622965887642,3.911933489866413,0.03706374358066321,4.95595175263981,9
cache_third_moderate,0.33,0.5,1202,4.169908372857933,4.083712301225083,4.497604690501813,0.030486530768400123,5.31503724633217,9
cache_third_moderate,0.33,0.5,1203,4.048512503504008,3.8960547752874213,4.2215440215918925,0.027670299426368162,5.123677875561759,9
cache_third_moderate,0.33,0.5,1204,4.276253898364802,4.229345980103527,4.519962376306121,0.027606049969810604,5.322586855553832,9
cache_third_moderate,0.33,0.5,1205,3.525409515269955,3.2656699414598074,3.8303806137261307,0.03068598821738633,4.7985593384371175,9
cache_third_moderate,0.33,0.5,1206,3.2201184896268757,3.1942483987773325,3.6986265287116415,0.03355754513152292,4.321641721610077,9
cache_third_moderate,0.33,0.5,1207,3.98341373026106,3.947455733849014,4.212522591822913,0.033375446516134694,4.923833387844581,9
cache_third_moderate,0.33,0.5,1208,3.789024749469436,3.670113962272423,4.117238984504545,0.017955095495369874,4.750219722210459,9
cache_third_moderate,0.33,0.5,1209,4.039007829878601,3.993853181653567,4.52312040680524,0.015116839572906651,4.949848161035878,9
cache_third_moderate,0.33,0.5,1210,3.770283330789315,3.6741083313773526,4.064346507162725,0.03298305219904906,5.088636805047889,9
cache_third_moderate,0.33,0.5,1211,4.254080767253284,4.044685775788896,4.629930810634187,0.01839329465377828,4.877649230672747,9
cache_third_moderate,0.33,0.5,1212,4.275267434160157,4.230058850932929,4.512454200837266,0.02019054169081787,5.207469014256239,9
cache_third_moderate,0.33,0.5,1213,3.9373267617505263,3.8630610338253546,4.22041031206337,0.02378304331552456,5.793630384114578,9
