seed,simple_mean,constrained_lw,uncapped_lw,unrestricted_lw,unrestricted_empirical,diagonal
1200,3.8481700983581164,3.482339955648424,3.4823399854122896,3.4823399796611314,3.492232307970929,3.5332619049423686
1201,4.189633021025703,3.9664414964698236,3.9664416011862618,3.966441501478012,3.9639343148840336,3.9271026078514417
1202,4.529879226725784,4.425728577494304,4.425728582976731,4.425728583112095,4.424323821910536,4.4463342835393815
1203,4.306682166811572,4.462815357931618,4.462815302731459,4.462815288213803,4.460241661734646,4.608285442920938
1204,4.7301879587535955,4.515845518465999,4.515845566682212,4.515845504076671,4.52163541893961,4.503589203431573
1205,3.9751265998112837,4.310275204287793,4.310275224855002,4.310275198868758,4.317681496674267,4.50947860535759
1206,3.9300724473875825,3.540211092204634,3.5402111204519313,3.540211126675353,3.540257680296229,3.423933948575598
1207,4.307914823388303,4.471951018318009,4.471951160741796,4.4719511419190825,4.477103640832654,4.597633904471806
1208,4.1584440813669685,4.165168648111956,4.165168647526617,4.16516862215094,4.171842424705704,4.369964328122569
1209,4.438802464493304,4.41074447405496,4.410744485396934,4.410744455322013,4.415684924221647,4.425545193383223
