scenario,gls_rmse,simple_mean_rmse,median_rmse,gls_advantage,mcse,weight_dispersion,spectral_effective
homogeneous,3.7420521517120306,3.725330891845315,4.170974464700086,-0.016721259866715778,0.011210313415378185,0.022040841274594308,4.926722165361764
cache_third_moderate,3.765829929147557,3.680132305024325,4.1133029109161,-0.08569762412323179,0.015482159980014362,0.026765340254453273,4.94967120421574
cache_third_strong,4.168411395153496,4.198034395604055,4.648622533810284,0.029623000450559923,0.043936751588219,0.03369505040132955,3.9899401507034744
cache_half_strong,5.1632873843121185,4.88015370155502,5.559344849515051,-0.28313368275709705,0.05909438193904615,0.040919678435256374,2.950572472816126
