scenario,description,true_variance_ratio,racer_gt_rmse,simple_mean_rmse,cross_pull_median_rmse,single_pull_rmse,advantage,t_p_value,wins,replications_that_clipped,n_replications
homogeneous,default: every pull shares one error structure,1.0,3.7420521517120298,3.7253308918453145,4.170974464700087,7.351891378219929,-0.016721259866715778,0.15222238502902788,7,0,20
ladder_5,"sd ratio 5, variance ratio 25",25.0,3.455774044162164,4.367811832560038,3.8469351856568643,8.385120668437379,0.9120377883978744,2.5969810427270496e-15,20,0,20
ladder_10,"sd ratio 10, variance ratio 100",100.0,3.2852559599493745,5.140659018179053,3.648200156706202,9.56824307360212,1.855403058229679,1.8340247652501348e-16,20,0,20
ladder_20,"sd ratio 20, variance ratio 400",400.0,3.1607051583563055,6.33325000993452,3.508263359578824,11.345691810430045,3.1725448515782144,4.6775154024722126e-17,20,0,20
control_correlation_only,"homogeneous variances, shared cache disturbance",1.0,3.902897888502422,3.814227447816665,4.280468564498204,7.453068240132042,-0.08867044068575777,0.0004891971148873577,4,0,20
additive_ladder_5,"control: level-scale noise, sd ratio 5",25.0,3.435807535943227,4.289232782488855,3.821944144938262,8.22627764431255,0.8534252465456287,7.387700712175948e-15,20,0,20
additive_ladder_10,"control: level-scale noise, sd ratio 10 (clips in some replications)",100.0,3.2923454883664087,5.029774425563517,3.660596039177006,9.367164375333852,1.7374289371971083,5.146643671944839e-16,20,1,20
