replication,seed,estimator,benchmarked,bias,absolute_bias,mae,rmse,correlation,innovation_correlation,top_peak_recall
1,1200,single_pull,False,-1.4793266793693888e-14,1.563021452130445e-14,5.569106404502942,7.171083223318836,0.9683907140069115,0.8963094364587493,0.9239766081871346
1,1200,cross_pull_median,False,-0.33618922758811176,0.33618922758811176,3.3420809948412082,4.243005296429267,0.9888594169415229,0.961530299333747,1.0
1,1200,simple_mean,False,-1.4793266793693888e-14,1.4793266793693888e-14,2.951720316836699,3.8532211557884306,0.9907844469529682,0.9762708154482319,1.0
1,1200,RACER_GT,False,-9.046800952573954e-15,9.046800952573954e-15,2.9350618085055964,3.8275658899330427,0.9908964868229335,0.9759950205623588,1.0
1,1200,single_pull_benchmarked,True,-0.0037101529014154414,0.007741468457263631,5.281800852737059,6.803238746183484,0.9715743862434548,0.8967975099183914,0.9239766081871346
1,1200,cross_pull_median_benchmarked,True,-0.29250380650907715,0.29250380650907715,3.1312090374046138,3.9743590646678144,0.990219889170144,0.9617803606391957,1.0
1,1200,simple_mean_benchmarked,True,-0.0037101529014160082,0.0037101529014160082,2.7438730934024083,3.59577090380163,0.9919731133566364,0.9764076273161196,1.0
1,1200,RACER_GT_benchmarked,True,-0.0035825377786473326,0.0035825377786473326,2.7308988761557416,3.5758038446536626,0.9920546759784419,0.9761358405289629,1.0
2,1201,single_pull,False,-4.3788759975501036e-16,7.409575887480097e-15,5.393898854719128,6.896116617770155,0.9736936568676886,0.8805330570561488,0.8304093567251462
2,1201,cross_pull_median,False,-0.16433139400017024,0.16433139400017024,3.0044825449485764,3.9715960113079154,0.9917824878491462,0.9541029857890188,0.8947368421052632
2,1201,simple_mean,False,5.824120784918854e-16,5.824120784918854e-16,2.679551928065821,3.467087477848197,0.9937435462220103,0.9726052170354277,0.9473684210526315
2,1201,RACER_GT,False,2.562613145364296e-15,2.562613145364296e-15,2.6657798838123243,3.483955584934978,0.9937119223632553,0.9724586812785186,0.9473684210526315
2,1201,single_pull_benchmarked,True,0.0017587027281065779,0.0052163839489594325,5.1560576932174955,6.609849184897049,0.9756203753300539,0.8809207367749559,0.8304093567251462
2,1201,cross_pull_median_benchmarked,True,-0.14175268890239626,0.14175268890239626,2.882778495475484,3.816692749561637,0.9923416478307924,0.9542763364076062,0.8947368421052632
2,1201,simple_mean_benchmarked,True,0.0017587027281072726,0.0017587027281072726,2.557323568611313,3.316379858532358,0.9942297674527694,0.9727546561498461,0.9473684210526315
2,1201,RACER_GT_benchmarked,True,0.0016814826597008818,0.0016814826597008818,2.5428873396869274,3.3309163845555156,0.9942038767673582,0.9726049806589699,0.9473684210526315
3,1202,single_pull,False,1.0187897210063611e-14,1.2068872515415182e-14,5.877120701858528,7.53273907920751,0.9666427963954605,0.8958857820631674,0.847953216374269
3,1202,cross_pull_median,False,-0.091953350511817,0.091953350511817,3.689435458541753,4.719315522125642,0.986634332088609,0.9631355951463896,0.8421052631578947
3,1202,simple_mean,False,9.590385559166379e-15,9.590385559166379e-15,3.353039563910444,4.282664080902128,0.9889939007287675,0.9775954228066993,0.8421052631578947
3,1202,RACER_GT,False,1.76276722423544e-14,1.76276722423544e-14,3.4490974947287643,4.412679803628629,0.9883151533212409,0.976486346823801,0.8421052631578947
3,1202,single_pull_benchmarked,True,-0.03129225655690528,0.03129225655690528,5.539323364262004,7.126974081995241,0.9700558442845539,0.8963468902401124,0.8538011695906432
3,1202,cross_pull_median_benchmarked,True,-0.10923473069544938,0.10923473069544938,3.414588894820007,4.410561555004407,0.9883315278952866,0.9633807089332738,0.8421052631578947
3,1202,simple_mean_benchmarked,True,-0.03129225655690569,0.03129225655690569,3.1056968893091157,3.983048872329959,0.9904876354196939,0.9777180323696034,0.8421052631578947
3,1202,RACER_GT_benchmarked,True,-0.031243245054994213,0.031243245054994213,3.188830696597972,4.101925836265969,0.9899083744524465,0.9766178275446605,0.8421052631578947
4,1203,single_pull,False,-6.995416187219202e-15,1.0722853489567268e-14,5.734767046902828,7.778685505374707,0.9718129832935946,0.8901273137567816,0.912280701754386
4,1203,cross_pull_median,False,-0.16113660632042884,0.16113660632042884,3.07292068761306,4.444171526717211,0.9911309429696528,0.9573215405068664,0.9473684210526315
4,1203,simple_mean,False,-6.988944941902625e-15,6.988944941902625e-15,2.8376344666077635,4.003908932428395,0.9929703980378931,0.974717378161179,0.9473684210526315
4,1203,RACER_GT,False,3.106197751956722e-16,3.106197751956722e-16,2.8329425166333913,4.088128070487281,0.9926859044866644,0.9746210150059752,0.9473684210526315
4,1203,single_pull_benchmarked,True,-0.0004891548727154952,0.0066827617214925625,5.431989324566103,7.36624180672818,0.9743726389260942,0.8904037907049553,0.9239766081871346
4,1203,cross_pull_median_benchmarked,True,-0.13982662400312346,0.13982662400312346,2.91778163152208,4.208951826064252,0.9919042747517286,0.9573701316969195,0.9473684210526315
4,1203,simple_mean_benchmarked,True,-0.0004891548727160753,0.0004891548727160753,2.6718595327356187,3.7634950960703892,0.9936930464642836,0.9747907967957826,0.9473684210526315
4,1203,RACER_GT_benchmarked,True,6.289918259219303e-05,6.289918259219303e-05,2.673037765529319,3.843306928575714,0.9934280545600843,0.9746854581544562,0.9473684210526315
5,1204,single_pull,False,-2.5444936584778816e-14,2.5444936584778816e-14,5.704294256162199,7.550495054181365,0.9717835142370552,0.8904486659755482,0.8771929824561403
5,1204,cross_pull_median,False,0.060075130340681314,0.060075130340681314,3.5297030527894164,4.822648700841296,0.9884794934075725,0.9611277071206096,0.8947368421052632
5,1204,simple_mean,False,-2.5140788054899718e-14,2.5140788054899718e-14,3.204676000331339,4.458594881047659,0.9899674073505352,0.9758547698093978,0.9473684210526315
5,1204,RACER_GT,False,-1.5026231625090643e-14,1.5026231625090643e-14,3.1940777615162768,4.442370029165762,0.9901151207407595,0.9757235326304505,0.9473684210526315
5,1204,single_pull_benchmarked,True,0.010800547403660097,0.010800547403660097,5.394602149548709,7.158011599366223,0.9745097785426144,0.8908232512145964,0.8830409356725145
5,1204,cross_pull_median_benchmarked,True,0.06206738895019394,0.06206738895019394,3.3038654684319586,4.506201605464925,0.9899057021932337,0.9612864236764785,0.9473684210526315
5,1204,simple_mean_benchmarked,True,0.010800547403660371,0.010800547403660371,2.970961520233638,4.141717671190622,0.9913070111914752,0.9759817506144497,1.0
5,1204,RACER_GT_benchmarked,True,0.01128969048472297,0.01128969048472297,2.966694087598189,4.13558292039217,0.9913948106757011,0.9758642669998747,0.9473684210526315
6,1205,single_pull,False,6.514386952020347e-16,9.26250912979317e-15,5.692748856692615,7.331857480373801,0.9592858461786727,0.8779468244312542,0.8947368421052632
6,1205,cross_pull_median,False,-0.1713894835079135,0.1713894835079135,2.8467799027360825,3.6463619557040143,0.9898190274216471,0.9514227928894174,0.9473684210526315
6,1205,simple_mean,False,1.1259966850843118e-15,1.1259966850843118e-15,2.5591660663166516,3.1665831339705837,0.9922182540163942,0.9711230249975188,0.9473684210526315
6,1205,RACER_GT,False,1.0794037188049609e-14,1.0794037188049609e-14,2.560232402421124,3.182075275344006,0.9921210183086664,0.97060420609664,0.9473684210526315
6,1205,single_pull_benchmarked,True,-0.0033254688165778278,0.004152894836382707,5.406423837778523,6.973909132879031,0.9628289851354749,0.8782367418021885,0.9005847953216374
6,1205,cross_pull_median_benchmarked,True,-0.1544056625331658,0.1544056625331658,2.734214030780361,3.5257240652720374,0.9904086905786317,0.9514911164857337,0.9473684210526315
6,1205,simple_mean_benchmarked,True,-0.003325468816577226,0.003325468816577226,2.4335753249256498,3.0202529108370584,0.992879492651799,0.9712013056229282,0.9473684210526315
6,1205,RACER_GT_benchmarked,True,-0.0031566213797631104,0.0031566213797631104,2.436729045865294,3.0364271409001304,0.992785513351053,0.9706796375335139,0.9473684210526315
7,1206,single_pull,False,-1.5733754446369675e-14,1.660521548233531e-14,5.655489976379826,7.453332215258352,0.9677111438172223,0.8767711357675839,0.9122807017543858
7,1206,cross_pull_median,False,-0.34472396282810747,0.34472396282810747,2.796228600075204,3.7042473316125357,0.9929145027355336,0.9537417716934209,1.0
7,1206,simple_mean,False,-1.584160853497928e-14,1.584160853497928e-14,2.6117536788879887,3.4393776640235774,0.9940393333644553,0.9705899383578894,1.0
7,1206,RACER_GT,False,-1.1881206401234463e-14,1.1881206401234463e-14,2.5983307069915718,3.428895811634908,0.9942043316855761,0.9708168806771668,1.0
7,1206,single_pull_benchmarked,True,-0.04482792098553817,0.04482792098553817,5.376799398256011,7.08778174639034,0.9708701003570785,0.877324651947422,0.9122807017543858
7,1206,cross_pull_median_benchmarked,True,-0.34405370727415063,0.34405370727415063,2.6631504282917837,3.519619447679412,0.9935991715675835,0.9539136479479555,1.0
7,1206,simple_mean_benchmarked,True,-0.04482792098553845,0.04482792098553845,2.4497146374553043,3.232717555873134,0.9947389694635488,0.9707434326764384,1.0
7,1206,RACER_GT_benchmarked,True,-0.04496016958028816,0.04496016958028816,2.4422832669386407,3.2227742280427747,0.9948842060320628,0.9709655950406202,1.0
8,1207,single_pull,False,-1.0556758193108471e-14,1.3248796244804298e-14,5.687163406414757,7.3202941412766585,0.9721688678755834,0.8799716261048136,0.9064327485380118
8,1207,cross_pull_median,False,-0.2541857102052143,0.2541857102052143,3.4864117628432325,4.396277620205888,0.9892741994625113,0.9526110479236319,0.8947368421052632
8,1207,simple_mean,False,-1.1454104210340413e-14,1.1454104210340413e-14,3.169446502801745,3.9291284440909493,0.9915396510926658,0.9726150012829647,0.8947368421052632
8,1207,RACER_GT,False,-3.377990055252935e-15,3.377990055252935e-15,3.179307645337954,3.934761303552634,0.9915052366796521,0.972584902244232,0.8947368421052632
8,1207,single_pull_benchmarked,True,0.020186670198388424,0.020186670198388424,5.3785118892272665,6.9325539103730485,0.9748746267719925,0.8806750262776736,0.912280701754386
8,1207,cross_pull_median_benchmarked,True,-0.20153281563094544,0.20153281563094544,3.273393418983432,4.14305382680579,0.9904498915156156,0.9529439166480795,0.8947368421052632
8,1207,simple_mean_benchmarked,True,0.020186670198388098,0.020186670198388098,2.9430150751142303,3.663477696681538,0.9926348675317654,0.9728189822873552,0.8947368421052632
8,1207,RACER_GT_benchmarked,True,0.02014022816020828,0.02014022816020828,2.9541407951034024,3.6687030646607153,0.9926063659517105,0.9727863122012632,0.8947368421052632
9,1208,single_pull,False,9.849235371829439e-15,1.1510188336417409e-14,5.691771228655916,7.358468964721721,0.9592695546313776,0.8919825184944218,0.8713450292397661
9,1208,cross_pull_median,False,-0.05103725715301118,0.05103725715301118,3.1518463489110893,4.221041182293049,0.98644297438222,0.956485145634504,0.9473684210526315
9,1208,simple_mean,False,9.629213031065838e-15,9.629213031065838e-15,2.84453317641867,3.7857330129495375,0.9892523866417403,0.9788457628689164,0.9473684210526315
