estimator,mean_bias,mean_absolute_bias,mean_mae,mean_rmse,median_rmse,mean_correlation,mean_innovation_correlation,mean_peak_recall
RACER_GT,-0.13172682579924766,0.1397482798168973,2.701653194941915,3.5264731591912244,3.537085829493713,0.9927429502611462,0.9744509159571703,0.9526315789473683
cross_pull_median,-0.14638180153134828,0.15681864248359473,3.1972765741447153,4.170974464700087,4.239241930408299,0.9898285695426768,0.9556154165357988,0.9447368421052632
simple_mean,-3.734232109930472e-15,8.197450004773288e-15,2.8659875867522153,3.7253308918453145,3.7705624030053126,0.9918790757634955,0.9747241727850771,0.9526315789473683
single_pull,-3.2129732996802343e-16,1.0332960959243533e-14,5.645223015354466,7.230523820025394,7.079289257010487,0.9695018114751882,0.8869066848605967,0.8868421052631579
